,UserId,SessionId,ArticleId_served,Click,Time Spent
0,1,1,2235,1,42
1,1,1,4563,1,39
2,1,1,698,0,0
3,1,1,2019,0,0
4,1,1,3150,0,0
5,1,1,2638,0,0
6,1,1,411,0,0
7,1,1,853,0,0
8,1,1,2242,0,0
9,1,1,1553,0,0
10,1,2,1841,0,0
11,1,2,4567,1,43
12,1,2,1649,0,0
13,1,2,1300,1,24
14,1,2,1864,0,0
15,1,2,3231,0,0
16,1,2,2323,0,0
17,1,2,1238,0,0
18,1,2,4545,0,0
19,1,2,4603,1,29
20,2,1,183,0,0
21,2,1,3154,1,35
22,2,1,1749,0,0
23,2,1,91,0,0
24,2,1,2260,0,0
25,2,1,3503,0,0
26,2,1,1107,0,0
27,2,1,3860,0,0
28,2,1,4798,0,0
29,2,1,3883,0,0
30,2,2,4546,0,0
31,2,2,1626,0,0
32,2,2,4615,0,0
33,2,2,990,1,25
34,2,2,4820,0,0
35,2,2,4759,0,0
36,2,2,1187,0,0
37,2,2,198,0,0
38,2,2,3811,0,0
39,2,2,2246,0,0
40,2,3,397,0,0
41,2,3,2257,0,0
42,2,3,3209,0,0
43,2,3,3741,1,34
44,2,3,1444,0,0
45,2,3,4530,0,0
46,2,3,1651,1,27
47,2,3,4656,1,40
48,2,3,4206,0,0
49,2,3,3814,1,17
50,2,4,4597,0,0
51,2,4,1862,1,26
52,2,4,4408,1,14
53,2,4,4604,0,0
54,2,4,4691,0,0
55,2,4,1297,0,0
56,2,4,1052,0,0
57,2,4,2650,0,0
58,2,4,2593,0,0
59,2,4,1465,1,27
60,2,5,3090,1,31
61,2,5,4441,0,0
62,2,5,3573,0,0
63,2,5,975,0,0
64,2,5,3373,0,0
65,2,5,397,0,0
66,2,5,635,0,0
67,2,5,1056,0,0
68,2,5,3724,0,0
69,2,5,3254,0,0
70,2,6,1651,0,0
71,2,6,2706,0,0
72,2,6,2001,0,0
73,2,6,2934,0,0
74,2,6,3191,0,0
75,2,6,1976,0,0
76,2,6,2,0,0
77,2,6,1036,1,35
78,2,6,4143,0,0
79,2,6,3584,0,0
80,2,7,2269,0,0
81,2,7,3925,0,0
82,2,7,2173,0,0
83,2,7,360,0,0
84,2,7,625,0,0
85,2,7,1865,0,0
86,2,7,1371,1,22
87,2,7,4782,0,0
88,2,7,3618,0,0
89,2,7,1600,0,0
90,2,8,306,0,0
91,2,8,1141,0,0
92,2,8,990,0,0
93,2,8,4775,0,0
94,2,8,740,1,28
95,2,8,3074,0,0
96,2,8,918,1,27
97,2,8,376,0,0
98,2,8,1782,0,0
99,2,8,832,0,0
100,2,9,4419,0,0
101,2,9,1257,0,0
102,2,9,3885,1,30
103,2,9,1494,0,0
104,2,9,2645,0,0
105,2,9,120,0,0
106,2,9,4348,0,0
107,2,9,3577,0,0
108,2,9,319,0,0
109,2,9,3620,0,0
110,3,1,4316,0,0
111,3,1,3281,0,0
112,3,1,4078,0,0
113,3,1,2430,0,0
114,3,1,1192,0,0
115,3,1,2595,1,27
116,3,1,2726,0,0
117,3,1,3208,1,21
118,3,1,1903,0,0
119,3,1,1632,0,0
120,3,2,2384,0,0
121,3,2,385,0,0
122,3,2,1741,0,0
123,3,2,4532,0,0
124,3,2,2639,1,35
125,3,2,3244,0,0
126,3,2,3719,0,0
127,3,2,4068,0,0
128,3,2,4472,0,0
129,3,2,2069,0,0
130,3,3,3148,1,29
131,3,3,3305,0,0
132,3,3,4650,0,0
133,3,3,3580,0,0
134,3,3,3881,0,0
135,3,3,1152,0,0
136,3,3,4769,0,0
